eventid,nhostkid,nhours,ndays,hostkidoutcome_txt,nreleased
200110030002,13.0,,3.0,Combination,13.0
200110070002,6.0,,3.0,Combination,
200110070003,18.0,,4.0,Combination,
200110080005,16.0,,,,
200110110005,1.0,,168.0,Hostage(s) released by perpetrators,1.0
200110110007,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
200110160003,2.0,24.0,0.0,Combination,1.0
200110270001,2.0,,6.0,Hostage(s) released by perpetrators,2.0
200110280007,1.0,2.0,0.0,Hostage(s) killed (not during rescue attempt),0.0
200111030002,1.0,,,,
200111030003,4.0,,,,
200111030004,8.0,,,,
200111070003,12.0,,1.0,Combination,12.0
200111100005,1.0,,,,
200111100006,70.0,,1.0,Successful Rescue,70.0
200111100008,1.0,,,,
200111110004,15.0,,17.0,Hostage(s) released by perpetrators,15.0
200111110009,1.0,3.0,,Hostage(s) released by perpetrators,1.0
200111110012,2.0,,,Hostage(s) released by perpetrators,2.0
200111160002,1.0,,,,
200111180003,6.0,,3.0,Hostage(s) released by perpetrators,6.0
200111270005,17.0,,,,
200111300002,2.0,,5.0,Hostage(s) killed (not during rescue attempt),0.0
200111300003,,,,,
200112010011,2.0,,,Hostage(s) killed (not during rescue attempt),
200112030001,2.0,,,,
200112030007,2.0,,,,
200112040005,3.0,,,,
200112090004,25.0,,,Combination,15.0
200112090008,12.0,,,Hostage(s) released by perpetrators,
200112100002,2.0,,,,
200112120005,9.0,,,Combination,3.0
200112120010,2.0,,,,
200112180001,6.0,,,Combination,2.0
200112270001,4.0,,,Hostage(s) killed (not during rescue attempt),0.0
200201030007,3.0,,,,
200201050002,2.0,,,,
200201150005,1.0,,23.0,Successful Rescue,1.0
200201150006,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
200201160002,1.0,,,,
200201220004,,,,,
200201230002,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
200202020006,40.0,,,,
200202060007,,,,,
200202100004,1.0,,,,
200202150003,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
200202200001,30.0,,,Combination,29.0
200202250002,2.0,,,,
200203040001,3.0,,,Hostage(s) released by perpetrators,3.0
200203040002,3.0,,,,
200203040003,1.0,,,,
200203040004,1.0,0.0,1.0,Hostage(s) killed (not during rescue attempt),0.0
200203180003,1.0,,,,
200203220004,11.0,,2.0,Hostage(s) released by perpetrators,11.0
200204010002,3.0,,,,
200204030004,4.0,,,,
200204160003,1.0,,,,
200204170001,1.0,,,,
200204190004,6.0,,,,
200204190005,4.0,,,,
200204240001,3.0,1.0,,Hostage(s) killed (not during rescue attempt),0.0
200204280005,1.0,,,,
200205010013,9.0,,12.0,Hostage(s) killed (not during rescue attempt),0.0
200205010015,1.0,,,,
200205020009,1.0,,,,
200205030003,1.0,,4.0,Hostage(s) killed (not during rescue attempt),0.0
200205040001,13.0,1.0,,Hostage(s) released by perpetrators,13.0
200205050003,7.0,,,,
200205080007,,,,,
200205080010,,,,,
200205080011,,,,,
200205080012,,,,,
200205080013,,,,,
200205080014,,,,,
200205110004,1.0,,15.0,Hostage(s) released by perpetrators,1.0
200205120003,4.0,,2.0,Hostage(s) killed (not during rescue attempt),0.0
200205150004,1.0,,,,
200205180002,2.0,,,,
200205180003,1.0,,,,
200205200006,61.0,,8.0,Hostage(s) released by perpetrators,61.0
200205240004,2.0,,0.0,Hostage(s) killed (not during rescue attempt),0.0
200205290008,1.0,,2.0,Hostage(s) killed (not during rescue attempt),0.0
200206030004,9.0,,,,
200206060004,2.0,,,,
200206170006,4.0,,,,
200206170009,10.0,,,,
200206190002,1.0,,,,
200206200005,6.0,,7.0,,6.0
200206240003,14.0,,1.0,Successful Rescue,13.0
200206260001,1.0,,,,
200206270003,9.0,,,,
200207140002,1.0,,,,
200208120003,1.0,,2.0,Hostage(s) killed (not during rescue attempt),0.0
200208120005,,,,,
200208200001,27.0,,97.0,Combination,17.0
200208200002,2.0,5.0,,Successful Rescue,2.0
200208200003,6.0,,270.0,Hostage(s) escaped (not during rescue attempt),4.0
200208210002,12.0,,,Combination,
200208230002,1.0,,1.0,Hostage(s) killed (not during rescue attempt),
200208250003,2.0,,,Combination,
200208260005,30.0,,,,
200208290002,5.0,,,,
200208290003,1.0,,,,
200208290008,4.0,,3.0,Hostage(s) released by perpetrators,4.0
200209020002,1.0,6.0,,Hostage(s) killed (not during rescue attempt),0.0
200209030001,1.0,,,,
200209050008,2.0,,,,
200209070001,28.0,,,,
200209090002,50.0,,,,
200209140003,,,,Combination,2.0
200209180003,22.0,,,Combination,7.0
200209190002,2.0,,,,
200209190003,,,,,
200210010002,1.0,,,,
200210010004,1.0,,,,
200210020004,7.0,,,,
200210200002,5.0,,,,
200210210003,2.0,,,,
200210230004,912.0,,3.0,Combination,780.0
200211040008,12.0,,,Combination,
200211110001,2.0,,5.0,Successful Rescue,2.0
200211130003,23.0,,,,
200211160001,9.0,,,,
200211210002,3.0,,3.0,Hostage(s) released by perpetrators,3.0
200211250004,4.0,,,,
200301020001,30.0,,,Combination,
200301030005,4.0,,,Hostage(s) released by perpetrators,4.0
200301030010,150.0,,,,
200301130003,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
200301140005,3.0,,,Hostage(s) killed (not during rescue attempt),0.0
200301210002,2.0,,,,
