eventid,attacktype
199808050001,Bombing/Explosion
199808050002,Bombing/Explosion
199808060001,Bombing/Explosion
199808060002,Bombing/Explosion
199808070001,Bombing/Explosion
199808070002,Bombing/Explosion
199808070003,Bombing/Explosion
199808070004,Bombing/Explosion
199808080002,Bombing/Explosion
199808090001,Facility/Infrastructure Attack
199808090003,Armed Assault
199808090005,Hijacking
199808090006,Bombing/Explosion
199808090007,Armed Assault
199808100002,Armed Assault
199808110001,Bombing/Explosion
199808110002,Facility/Infrastructure Attack
199808120001,Bombing/Explosion
199808120002,Bombing/Explosion
199808120003,Armed Assault
199808130001,Armed Assault
199808130002,Bombing/Explosion
199808140001,Bombing/Explosion
199808140002,Armed Assault
199808140003,Hijacking
199808150001,Armed Assault
199808150002,Bombing/Explosion
199808160001,Bombing/Explosion
199808160002,Armed Assault
199808160003,Armed Assault
199808170001,Bombing/Explosion
199808190001,Bombing/Explosion
199808190002,Facility/Infrastructure Attack
199808190003,Bombing/Explosion
199808190004,Bombing/Explosion
199808190005,Bombing/Explosion
199808200001,Bombing/Explosion
199808200002,Bombing/Explosion
199808200003,Armed Assault
199808200004,Armed Assault
199808200005,Armed Assault
199808210001,Armed Assault
199808210002,Armed Assault
199808210003,Bombing/Explosion
199808210004,Armed Assault
199808210005,Facility/Infrastructure Attack
199808210006,Bombing/Explosion
199808210007,Bombing/Explosion
199808210008,Bombing/Explosion
199808230001,Armed Assault
199808230002,Armed Assault
199808230003,Armed Assault
199808240001,Hostage Taking (Kidnapping)
199808240002,Bombing/Explosion
199808240003,Bombing/Explosion
199808240004,Armed Assault
199808240005,Armed Assault
199808240006,Armed Assault
199808250001,Bombing/Explosion
199808250002,Bombing/Explosion
199808250003,Bombing/Explosion
199808250004,Bombing/Explosion
199808250005,Bombing/Explosion
199808260001,Bombing/Explosion
199808260002,Bombing/Explosion
199808260003,Facility/Infrastructure Attack
199808270001,Armed Assault
199808270002,Bombing/Explosion
199808280001,Armed Assault
199808290001,Bombing/Explosion
199808310001,Bombing/Explosion
199809020001,Armed Assault
199809030001,Bombing/Explosion
199809030002,Armed Assault
199809030003,Bombing/Explosion
199809030003,Armed Assault
199809050001,Bombing/Explosion
199809050002,Hostage Taking (Kidnapping)
199809060001,Bombing/Explosion
199809070001,Hostage Taking (Kidnapping)
199809080001,Bombing/Explosion
199809080002,Assassination
199809080003,Bombing/Explosion
199809080004,Facility/Infrastructure Attack
199809080005,Facility/Infrastructure Attack
199809100001,Bombing/Explosion
199809110001,Bombing/Explosion
199809110002,Assassination
199809110003,Bombing/Explosion
199809110004,Bombing/Explosion
199809110005,Bombing/Explosion
199809110006,Hostage Taking (Kidnapping)
199809120001,Armed Assault
199809130001,Armed Assault
199809130002,Bombing/Explosion
199809130002,Armed Assault
199809130003,Armed Assault
199809130003,Bombing/Explosion
199809130004,Armed Assault
199809130004,Bombing/Explosion
199809130005,Armed Assault
199809130006,Hostage Taking (Kidnapping)
199809130006,Armed Assault
199809140001,Bombing/Explosion
199809160001,Armed Assault
199809170001,Armed Assault
199809170002,Bombing/Explosion
199809170004,Armed Assault
199809170005,Assassination
199809180001,Bombing/Explosion
199809180002,Armed Assault
199809190001,Bombing/Explosion
199809200001,Armed Assault
199809200002,Armed Assault
199809200003,Armed Assault
199809200004,Hostage Taking (Kidnapping)
199809200004,Armed Assault
199809200005,Bombing/Explosion
199809210001,Bombing/Explosion
199809210002,Facility/Infrastructure Attack
199809210003,Facility/Infrastructure Attack
199809220001,Facility/Infrastructure Attack
199809220002,Bombing/Explosion
199809230001,Assassination
199809240001,Bombing/Explosion
199809250001,Bombing/Explosion
199809250002,Armed Assault
199809250002,Bombing/Explosion
199809250002,Facility/Infrastructure Attack
199809250003,Bombing/Explosion
199809270001,Bombing/Explosion
199809270002,Bombing/Explosion
199809280001,Bombing/Explosion
199809280001,Facility/Infrastructure Attack
199809290001,Bombing/Explosion
199809290002,Armed Assault
199809290003,Bombing/Explosion
199809290004,Bombing/Explosion
199809300001,Bombing/Explosion
199809300002,Armed Assault
199809300003,Bombing/Explosion
199810010001,Bombing/Explosion
199810010002,Bombing/Explosion
199810020001,Bombing/Explosion
199810020002,Armed Assault
199810020002,Bombing/Explosion
199810020003,Armed Assault
199810020004,Facility/Infrastructure Attack
199810020005,Bombing/Explosion
199810020006,Armed Assault
199810020006,Hostage Taking (Kidnapping)
199810030001,Bombing/Explosion
199810030002,Bombing/Explosion
199810030003,Bombing/Explosion
199810030004,Assassination
199810030005,Bombing/Explosion
199810040001,Bombing/Explosion
199810040001,Armed Assault
199810040002,Armed Assault
199810050001,Bombing/Explosion
199810050002,Bombing/Explosion
199810050003,Bombing/Explosion
199810060001,Bombing/Explosion
199810060002,Armed Assault
199810060003,Armed Assault
199810060004,Armed Assault
199810070002,Facility/Infrastructure Attack
199810070002,Armed Assault
199810070002,Bombing/Explosion
199810070003,Armed Assault
199810070004,Armed Assault
199810070005,Bombing/Explosion
199810080001,Armed Assault
199810080002,Armed Assault
199810080003,Armed Assault
199810080004,Armed Assault
199810080005,Armed Assault
199810080005,Bombing/Explosion
199810090001,Armed Assault
199810090002,Armed Assault
199810090003,Bombing/Explosion
199810100001,Armed Assault
199810100002,Armed Assault
199810100003,Bombing/Explosion
199810100004,Bombing/Explosion
199810100005,Bombing/Explosion
199810110001,Bombing/Explosion
199810110002,Bombing/Explosion
199810110003,Bombing/Explosion
199810110004,Bombing/Explosion
199810110005,Bombing/Explosion
199810110006,Armed Assault
199810110006,Bombing/Explosion
199810110007,Armed Assault
199810110007,Bombing/Explosion
199810110008,Bombing/Explosion
199810110009,Bombing/Explosion
199810110010,Armed Assault
199810110011,Facility/Infrastructure Attack
199810120001,Armed Assault
199810120002,Hostage Taking (Kidnapping)
199810130001,Armed Assault
199810130002,Bombing/Explosion
199810140001,Bombing/Explosion
199810140002,Bombing/Explosion
199810150001,Bombing/Explosion
199810150002,Bombing/Explosion
199810150003,Bombing/Explosion
199810150004,Bombing/Explosion
199810150004,Armed Assault
199810160001,Armed Assault
199810160002,Armed Assault
199810160003,Bombing/Explosion
199810160004,Armed Assault
199810160005,Armed Assault
199810160006,Hostage Taking (Kidnapping)
199810170001,Bombing/Explosion
199810170002,Armed Assault
199810170003,Assassination
199810170004,Bombing/Explosion
199810170005,Hostage Taking (Kidnapping)
199810180001,Armed Assault
199810180002,Bombing/Explosion
199810180003,Hostage Taking (Kidnapping)
199810180004,Armed Assault
199810190002,Bombing/Explosion
199810190003,Bombing/Explosion
199810190004,Facility/Infrastructure Attack
199810210001,Hostage Taking (Kidnapping)
199810210002,Hostage Taking (Kidnapping)
199810220001,Facility/Infrastructure Attack
199810220002,Armed Assault
199810230001,Armed Assault
199810230002,Bombing/Explosion
199810230003,Bombing/Explosion
199810230004,Bombing/Explosion
199810250001,Armed Assault
199810250002,Armed Assault
199810250003,Armed Assault
199810250004,Bombing/Explosion
199810250004,Assassination
199810260001,Armed Assault
199810260002,Armed Assault
199810260003,Assassination
199810270001,Bombing/Explosion
199810270002,Bombing/Explosion
199810270003,Bombing/Explosion
199810270004,Bombing/Explosion
199810270005,Bombing/Explosion
199810270006,Bombing/Explosion
199810280001,Assassination
199810280002,Facility/Infrastructure Attack
199810280003,Armed Assault
199810290001,Bombing/Explosion
199810290002,Armed Assault
199810290003,Bombing/Explosion
199810290004,Bombing/Explosion
199810290005,Armed Assault
199810300001,Hijacking
199810300003,Armed Assault
199810300003,Facility/Infrastructure Attack
199810300004,Bombing/Explosion
199810300005,Bombing/Explosion
199810310001,Armed Assault
199811010001,Hostage Taking (Kidnapping)
199811010001,Armed Assault
199811010002,Bombing/Explosion
199811010003,Armed Assault
199811020001,Armed Assault
199811020002,Bombing/Explosion
199811020003,Bombing/Explosion
199811020004,Bombing/Explosion
199811020005,Bombing/Explosion
199811020006,Bombing/Explosion
199811030001,Bombing/Explosion
199811030002,Hostage Taking (Kidnapping)
199811030002,Armed Assault
199811050001,Bombing/Explosion
199811050002,Bombing/Explosion
199811050003,Armed Assault
199811060001,Facility/Infrastructure Attack
199811060002,Bombing/Explosion
199811060003,Armed Assault
199811070002,Armed Assault
199811070003,Facility/Infrastructure Attack
199811070003,Hostage Taking (Kidnapping)
199811080001,Bombing/Explosion
199811080002,Bombing/Explosion
199811080003,Bombing/Explosion
199811080004,Armed Assault
199811080004,Bombing/Explosion
199811080005,Bombing/Explosion
199811080006,Armed Assault
199811080007,Hostage Taking (Kidnapping)
199811080007,Armed Assault
199811080008,Armed Assault
199811090001,Unarmed Assault
199811090002,Armed Assault
199811090002,Hostage Taking (Kidnapping)
199811100001,Bombing/Explosion
199811100002,Bombing/Explosion
199811100003,Armed Assault
199811110001,Armed Assault
199811110002,Armed Assault
199811110003,Bombing/Explosion
199811120001,Armed Assault
199811120002,Bombing/Explosion
199811130001,Bombing/Explosion
199811130002,Bombing/Explosion
199811140001,Armed Assault
199811150001,Hostage Taking (Kidnapping)
199811150001,Armed Assault
199811160001,Bombing/Explosion
199811160002,Bombing/Explosion
199811160003,Bombing/Explosion
199811160004,Unarmed Assault
199811170001,Facility/Infrastructure Attack
199811170002,Armed Assault
199811170003,Armed Assault
199811170004,Bombing/Explosion
199811180001,Hostage Taking (Kidnapping)
199811180002,Assassination
199811190001,Bombing/Explosion
199811190002,Bombing/Explosion
199811190003,Bombing/Explosion
199811190004,Bombing/Explosion
199811190005,Bombing/Explosion
199811200001,Armed Assault
199811200001,Bombing/Explosion
199811200002,Assassination
199811200003,Hostage Taking (Kidnapping)
199811200003,Armed Assault
199811200004,Bombing/Explosion
199811210001,Bombing/Explosion
199811210002,Bombing/Explosion
199811220002,Bombing/Explosion
199811230001,Bombing/Explosion
199811230002,Hostage Taking (Kidnapping)
199811230003,Bombing/Explosion
199811240001,Bombing/Explosion
199811240002,Bombing/Explosion
199811240003,Armed Assault
199811250001,Bombing/Explosion
199811260001,Bombing/Explosion
199811260002,Armed Assault
199811270001,Armed Assault
199811270002,Bombing/Explosion
199811270003,Bombing/Explosion
199811270004,Bombing/Explosion
199811270005,Hostage Taking (Kidnapping)
199811270005,Armed Assault
199811280001,Bombing/Explosion
199811280002,Bombing/Explosion
199811290002,Armed Assault
199811300001,Bombing/Explosion
199811300002,Bombing/Explosion
199811300003,Unarmed Assault
199812010001,Bombing/Explosion
199812020001,Bombing/Explosion
199812020002,Bombing/Explosion
199812020003,Bombing/Explosion
199812020004,Bombing/Explosion
199812030001,Hostage Taking (Kidnapping)
199812030002,Bombing/Explosion
199812030003,Bombing/Explosion
199812040001,Armed Assault
199812060001,Bombing/Explosion
199812060002,Hostage Taking (Kidnapping)
199812080001,Armed Assault
199812100001,Bombing/Explosion
199812160001,Bombing/Explosion
199812160002,Unarmed Assault
199812180001,Assassination
199812180002,Bombing/Explosion
199812180003,Bombing/Explosion
